site,year,rotation,xs
gent,2012,cc,90.51144586980763
gent,2012,cs,92.99401017088289
gent,2009,cc,125.40544827017615
gent,2009,cs,71.10611977394575
gent,2005,cc,120.56475839549404
gent,2001,cs,59.083651812675306
gent,2001,cc,99.93981246839704
gent,2019,cc,115.37524785266943
gent,2019,cs,60.472072002368726
gent,2016,cc,86.41146340983482
gent,2007,cc,116.21415216913053
gent,2010,cc,116.01967927428174
gent,2014,cs,65.32901771179073
gent,2010,cs,59.547665392398535
gent,2014,cc,124.43228891186646
gent,2013,cs,56.95332245149822
gent,2016,cs,57.87568184120027
gent,2005,cs,63.85251425295183
gent,2015,cc,125.7708609839948
gent,2013,cc,104.72239455826538
gent,2015,cs,70.37784300473945
gent,2018,cc,114.08916063214569
gent,2006,cc,90.14064732885986
gent,2003,cc,115.06476582129527
gent,2006,cs,56.15351338605709
gent,2011,cs,56.7908227603617
gent,2002,cc,127.4494412504002
gent,2004,cc,136.63828866836243
gent,2002,cs,64.40914126599122
gent,2007,cs,65.5077045210852
gent,2000,cs,63.71723723818325
gent,2000,cc,120.44517457259809
gent,2018,cs,62.54415178622707
gent,2004,cs,69.70096805163621
gent,2008,cc,145.05625685354897
gent,2003,cs,63.962657799290234
gent,2008,cs,72.11431152470911
gent,2011,cc,105.65573346895455
gent,2017,cs,68.2803911618027
gent,2017,cc,102.79840481215908
gilm,2001,cc,73.57133893092728
gilm,2001,cs,37.20397225590789
gilm,2011,cc,82.08533543142033
gilm,2013,cc,113.14533720018996
gilm,2011,cs,56.66418113751052
gilm,2014,cs,82.28025162190224
gilm,2013,cs,82.31841454494247
gilm,2007,cs,70.58234580885951
gilm,2007,cc,97.12062583371255
gilm,2014,cc,117.90837029758796
gilm,2000,cs,56.45634195411443
gilm,2018,cc,83.57935049563186
gilm,2018,cs,60.55790285393599
gilm,2010,cc,132.90014348449552
gilm,2000,cc,67.3429842731988
gilm,2006,cs,67.52282337020648
gilm,2006,cc,81.68640568531939
gilm,2019,cc,81.38725875305467
gilm,2019,cs,57.69378431288762
gilm,2010,cs,69.8698264814764
gilm,2008,cs,57.29314154815443
gilm,2016,cs,58.754745414000574
gilm,2002,cc,115.27184918911385
gilm,2012,cs,79.25054907201746
gilm,2012,cc,110.42386264805113
gilm,2015,cc,113.16100117556834
gilm,2016,cc,97.27166309082774
gilm,2002,cs,61.529419921829025
gilm,2015,cs,57.969545006472465
gilm,2008,cc,103.86376628425381
gilm,2005,cc,96.01675537929623
gilm,2005,cs,60.6203358187395
gilm,2003,cs,81.70490727140412
gilm,2003,cc,106.08068893504085
gilm,2004,cs,89.03707651639152
gilm,2004,cc,129.57674444720078
gilm,2009,cs,82.4181230192404
gilm,2009,cc,124.10399024882766
gilm,2017,cs,78.6657696580551
gilm,2017,cc,102.81384929906163
gold,2012,cs,68.20399376899118
gold,2018,cc,75.47620325688052
gold,2018,cs,48.58978381154922
gold,2014,cs,57.11672993498953
gold,2012,cc,103.40232671101168
gold,2000,cc,123.39433547380303
gold,2014,cc,130.39126377503808
gold,2008,cc,120.78025367743138
gold,2004,cc,114.39973703002792
gold,2019,cc,110.25956400201515
gold,2019,cs,83.7506878754597
gold,2000,cs,60.66722645251699
gold,2015,cc,113.57114962130767
gold,2008,cs,77.87350380322113
gold,2010,cs,74.9538628541946
gold,2011,cs,98.2376837160626
gold,2010,cc,120.36980566092949
gold,2013,cs,77.42099192644872
gold,2011,cc,103.16539832586167
gold,2004,cs,71.92009244430008
gold,2009,cs,90.87099167411174
gold,2002,cc,71.42101498720737
gold,2016,cc,113.95615816798194
gold,2013,cc,95.50438405349156
gold,2003,cs,82.89122821005097
gold,2009,cc,146.82272423551976
gold,2016,cs,81.41974037394485
gold,2015,cs,77.20096141829313
gold,2002,cs,57.38779806278284
gold,2006,cc,87.94740680864368
gold,2005,cc,114.22840297759662
gold,2003,cc,104.16122033689506
gold,2006,cs,69.63101378107572
gold,2017,cs,69.37021117854204
gold,2017,cc,109.96182927006856
gold,2005,cs,73.26097054122235
gold,2001,cs,94.83586592565948
gold,2001,cc,125.61768804783443
gold,2007,cs,87.90289951550022
gold,2007,cc,115.63697936372128
hoff,2005,cs,62.908604933807304
hoff,2005,cc,65.90308324430843
hoff,2007,cs,35.53489407578446
hoff,2002,cs,45.91295179900256
hoff,2003,cc,117.77367299336252
hoff,2019,cs,71.55166451078605
hoff,2002,cc,67.00263760485433
hoff,2016,cc,78.46531345338649
hoff,2010,cs,66.98024555015155
hoff,2016,cs,57.6965755945159
hoff,2013,cc,104.81382313435348
hoff,2013,cs,56.223744467392
hoff,2003,cs,59.0886289865982
hoff,2019,cc,90.99460150998935
hoff,2007,cc,108.29656925049986
hoff,2011,cs,57.053018527448465
hoff,2010,cc,153.9132809269435
hoff,2001,cs,63.3069468255409
hoff,2006,cs,67.76367351888152
hoff,2014,cc,116.65150391839529
hoff,2018,cc,121.29235246383963
hoff,2015,cs,69.36373274544263
hoff,2015,cc,139.0037913971188
hoff,2006,cc,88.28661629072039
hoff,2001,cc,86.03139423394542
hoff,2018,cs,61.199757501215736
hoff,2014,cs,58.974362187104084
hoff,2017,cc,115.53016257617674
hoff,2000,cc,118.04091873986503
hoff,2000,cs,75.84697172296998
hoff,2009,cs,73.80772812862875
hoff,2011,cc,110.17994014250579
hoff,2017,cs,57.38544968311755
hoff,2004,cs,70.31730221127506
hoff,2009,cc,129.1721288972431
hoff,2008,cs,73.57403411490165
hoff,2008,cc,155.20361687032735
hoff,2004,cc,170.3369786388593
hugg,2004,cs,68.43897405202344
hugg,2004,cc,116.07322830099868
hugg,2006,cc,109.21200417795269
hugg,2012,cs,97.71492153675905
hugg,2012,cc,105.99111481115662
hugg,2006,cs,60.9563029989339
hugg,2007,cc,121.70038947103315
hugg,2007,cs,98.5453273431315
hugg,2014,cc,118.85609284453058
hugg,2013,cs,73.5366485916314
hugg,2014,cs,91.19104058212295
hugg,2003,cs,77.6762279221607
hugg,2013,cc,112.34518423490918
hugg,2017,cc,119.50500590723719
hugg,2017,cs,73.64989342652623
hugg,2003,cc,102.59427093471969
hugg,2010,cc,133.584398849717
hugg,2016,cs,74.28972948711643
hugg,2008,cs,59.106645225425275
hugg,2008,cc,102.91038870409002
hugg,2016,cc,120.59133525935687
hugg,2019,cs,66.67542272489536
hugg,2010,cs,77.14280718000478
hugg,2002,cc,93.315633965711
hugg,2018,cc,130.35852636332777
hugg,2002,cs,75.50657800882385
hugg,2018,cs,92.11084623123426
hugg,2001,cs,23.966669405520513
hugg,2011,cs,70.80676444618268
hugg,2011,cc,102.8867092464271
hugg,2001,cc,83.61324878284789
hugg,2009,cc,134.07168009809743
hugg,2005,cs,83.3439633261498
hugg,2019,cc,104.85772686040582
hugg,2009,cs,104.59985857336102
hugg,2015,cc,125.52363278436457
hugg,2005,cc,121.27389107619541
hugg,2000,cc,93.80976635705224
hugg,2015,cs,75.89208319535663
hugg,2000,cs,67.57584006225954
klad,2005,cs,57.025511953777404
klad,2001,cc,118.8874916030241
klad,2001,cs,58.03073546616978
klad,2009,cc,110.0800838520386
klad,2016,cc,85.4353942096382
klad,2006,cs,57.93421553721516
klad,2015,cc,96.19850220225965
klad,2019,cc,120.0686185771757
klad,2013,cc,120.44754945716032
klad,2015,cs,57.889501295999416
klad,2016,cs,58.150454955310884
klad,2019,cs,61.734873842870236
klad,2014,cc,115.96708059842157
klad,2003,cs,58.320035341592835
klad,2009,cs,57.88443515825471
klad,2014,cs,59.96199821596499
klad,2013,cs,56.45539991081852
klad,2005,cc,116.75317244958816
klad,2003,cc,113.00712435627864
klad,2000,cc,117.6955704474301
klad,2018,cc,115.74753433655363
klad,2007,cs,64.25600782471736
klad,2006,cc,110.75850003247045
klad,2000,cs,60.126149084815744
klad,2002,cs,68.19737590703758
klad,2002,cc,109.89314094229385
klad,2007,cc,98.59880461924774
klad,2018,cs,75.67718797285303
klad,2010,cc,125.08158542227471
klad,2010,cs,94.37231080403933
klad,2012,cs,105.20260365730124
klad,2011,cc,154.862543712479
klad,2012,cc,135.77961098843227
klad,2004,cc,139.36524964138505
klad,2011,cs,91.03129808424114
klad,2008,cc,162.2400792371801
klad,2017,cs,62.74476370179699
klad,2017,cc,107.06813695301143
klad,2004,cs,99.50810746457222
klad,2008,cs,90.8374867339812
masa,2001,cc,102.3503002988361
masa,2004,cc,137.8959197712412
masa,2009,cc,97.1539742290788
masa,2019,cc,90.93956353487617
masa,2014,cc,129.57511833145318
masa,2000,cc,108.75660409870584
masa,2008,cc,133.06062178560106
masa,2019,cs,58.48872956406526
masa,2000,cs,40.02417311069855
masa,2004,cs,88.6825030277922
masa,2008,cs,81.85518144637055
masa,2009,cs,78.70180282564843
masa,2003,cc,88.32695150247298
masa,2001,cs,56.49002611552542
masa,2014,cs,74.2410593739765
masa,2010,cc,129.07858269544207
masa,2017,cc,115.84991457553967
masa,2006,cc,87.89589003918466
masa,2013,cc,129.36161840905484
masa,2011,cc,85.97414742633126
masa,2016,cc,119.55545215405573
masa,2010,cs,57.46946664702394
masa,2017,cs,69.4003393828553
masa,2013,cs,72.10416880044374
masa,2018,cc,98.18794338704504
masa,2011,cs,72.85191751145453
masa,2016,cs,61.75421086407221
masa,2003,cs,90.99549275502739
masa,2015,cc,114.90680467306495
masa,2018,cs,73.24252056047737
masa,2007,cc,132.65936616363393
masa,2007,cs,100.02522558445605
masa,2006,cs,70.29118335177378
masa,2012,cs,61.3204072685099
masa,2002,cc,115.4256801566538
masa,2012,cc,109.06466650416124
masa,2015,cs,71.05439427736334
masa,2002,cs,72.92012337264356
masa,2005,cc,138.4396183797042
masa,2005,cs,118.78920759972104
rand,2001,cs,56.90909560939837
rand,2001,cc,71.09236374937979
rand,2013,cs,59.553293809875775
rand,2004,cc,119.43775746474324
rand,2013,cc,97.45494873101288
rand,2010,cs,63.46348439348207
rand,2010,cc,126.67010347255388
rand,2018,cc,104.07040890228805
rand,2002,cc,79.76055955549916
rand,2018,cs,69.36224725661714
rand,2019,cc,102.71699661216297
rand,2019,cs,71.3481137702303
rand,2000,cc,82.26048831037917
rand,2017,cs,58.860146988375526
rand,2004,cs,71.7885746565102
rand,2000,cs,57.23472838700143
rand,2003,cc,96.21931887814539
rand,2006,cs,68.28472895555925
rand,2011,cs,59.9117838242851
rand,2003,cs,81.16169298475711
rand,2011,cc,98.00122942944228
rand,2009,cc,129.58433721251225
rand,2009,cs,70.35876207658231
rand,2006,cc,115.84187444872612
rand,2002,cs,57.19175599431312
rand,2008,cc,102.90844154829453
rand,2014,cc,138.29209700500363
rand,2017,cc,96.28368016376315
rand,2014,cs,91.46344896274331
rand,2016,cs,61.36846535050217
rand,2015,cs,66.15994609213092
rand,2015,cc,136.09832929903985
rand,2005,cc,118.40553509371085
rand,2008,cs,71.08665869795487
rand,2016,cc,106.46988500474556
rand,2012,cc,106.94252329058412
rand,2012,cs,79.01875524211152
rand,2007,cs,91.2608829024955
rand,2007,cc,139.26464940513424
rand,2005,cs,59.30821261980139
